key,student_geoid_hashed,student_state,nearest_campus_id,nearest_campus_hashed_geoid,nearest_campus_state,nearest_campus_distance
2016,a24504,IN,4,a24882,IN,49.0342
476,a12508,CO,30,a12127,CO,2.71135
2156,a24940,IN,4,a24882,IN,49.0342
1728,a22089,IL,16,a22078,IL,11.1211
11,a11632,CO,30,a12127,CO,2.71135
4780,a46998,NY,18,a46880,NY,22.6004
232,a11946,CO,30,a12127,CO,2.71135
4841,a47143,NY,67,a41808,NJ,33.1584
1351,a19694,GA,40,a18790,GA,45.353
5905,a63415,TX,11,a66091,TX,49.3194
5302,a58540,PA,15,a30451,MD,22.607
5610,a62693,TX,11,a66091,TX,49.3194
2725,a30766,MD,15,a30451,MD,22.607
3259,a41356,NJ,2,a42598,NJ,14.115
3126,a40936,NJ,14,a40859,NJ,36.6716
1217,a19043,GA,40,a18790,GA,45.353
5826,a63160,TX,11,a66091,TX,49.3194
2716,a30749,MD,15,a30451,MD,22.607
1037,a13692,CT,66,a13186,CT,49.2057
3207,a41300,NJ,2,a42598,NJ,14.115
5084,a57220,PA,7,a57195,PA,29.2139
2856,a31142,MD,15,a30451,MD,22.607
1269,a19329,GA,40,a18790,GA,45.353
340,a12124,CO,30,a12127,CO,2.71135
5639,a62775,TX,11,a66091,TX,49.3194
1686,a22022,IL,16,a22078,IL,11.1211
3838,a42388,NJ,2,a42598,NJ,14.115
5800,a63095,TX,11,a66091,TX,49.3194
5715,a62970,TX,11,a66091,TX,49.3194
5822,a63147,TX,11,a66091,TX,49.3194
1422,a21288,IL,16,a22078,IL,11.1211
3221,a41316,NJ,2,a42598,NJ,14.115
5849,a63229,TX,11,a66091,TX,49.3194
4688,a46578,NY,18,a46880,NY,22.6004
4616,a46237,NY,14,a40859,NJ,36.6716
2406,a29947,MD,15,a30451,MD,22.607
898,a13478,CT,66,a13186,CT,49.2057
711,a13192,CT,66,a13186,CT,49.2057
6055,a66071,TX,11,a66091,TX,49.3194
1040,a13699,CT,66,a13186,CT,49.2057
4687,a46577,NY,18,a46880,NY,22.6004
1838,a22373,IL,16,a22078,IL,11.1211
3135,a40977,NJ,67,a41808,NJ,33.1584
3208,a41301,NJ,2,a42598,NJ,14.115
858,a13406,CT,58,a13035,CT,27.775
4311,a44659,NY,18,a46880,NY,22.6004
2020,a24508,IN,4,a24882,IN,49.0342
4598,a46217,NY,14,a40859,NJ,36.6716
3036,a40826,NJ,14,a40859,NJ,36.6716
2871,a31179,MD,15,a30451,MD,22.607
5665,a62842,TX,11,a66091,TX,49.3194
2706,a30733,MD,15,a30451,MD,22.607
3577,a41910,NJ,2,a42598,NJ,14.115
1309,a19427,GA,40,a18790,GA,45.353
2199,a24989,IN,4,a24882,IN,49.0342
55,a11678,CO,30,a12127,CO,2.71135
2770,a30832,MD,15,a30451,MD,22.607
6112,a66149,TX,11,a66091,TX,49.3194
2942,a31700,MA,66,a13186,CT,49.2057
3002,a40779,NJ,14,a40859,NJ,36.6716
5898,a63400,TX,11,a66091,TX,49.3194
2814,a30891,MD,15,a30451,MD,22.607
3636,a41991,NJ,2,a42598,NJ,14.115
2348,a29855,MD,15,a30451,MD,22.607
2684,a30701,MD,15,a30451,MD,22.607
465,a12486,CO,30,a12127,CO,2.71135
1324,a19541,GA,40,a18790,GA,45.353
5330,a60341,TN,17,a60354,TN,48.4827
4602,a46222,NY,14,a40859,NJ,36.6716
751,a13246,CT,57,a13101,CT,45.6509
4364,a44897,NY,18,a46880,NY,22.6004
1208,a19012,GA,40,a18790,GA,45.353
5634,a62753,TX,11,a66091,TX,49.3194
1189,a18851,GA,40,a18790,GA,45.353
420,a12416,CO,30,a12127,CO,2.71135
2024,a24512,IN,4,a24882,IN,49.0342
5838,a63212,TX,11,a66091,TX,49.3194
3083,a40883,NJ,14,a40859,NJ,36.6716
3843,a42394,NJ,14,a40859,NJ,36.6716
3825,a42374,NJ,14,a40859,NJ,36.6716
4263,a44440,NY,2,a42598,NJ,14.115
5573,a62492,TX,11,a66091,TX,49.3194
3818,a42365,NJ,2,a42598,NJ,14.115
2230,a25038,IN,4,a24882,IN,49.0342
5107,a57614,PA,5,a58089,PA,35.3072
1459,a21347,IL,16,a22078,IL,11.1211
5462,a61030,TN,17,a60354,TN,48.4827
3155,a41092,NJ,5,a58089,PA,35.3072
2092,a24839,IN,4,a24882,IN,49.0342
1593,a21705,IL,16,a22078,IL,11.1211
4650,a46393,NY,18,a46880,NY,22.6004
1823,a22318,IL,16,a22078,IL,11.1211
4660,a46454,NY,18,a46880,NY,22.6004
760,a13258,CT,66,a13186,CT,49.2057
3119,a40928,NJ,14,a40859,NJ,36.6716
624,a13097,CT,57,a13101,CT,45.6509
5386,a60442,TN,17,a60354,TN,48.4827
2126,a24891,IN,4,a24882,IN,49.0342
2359,a29874,MD,15,a30451,MD,22.607
1344,a19608,GA,40,a18790,GA,45.353
4537,a45761,NY,18,a46880,NY,22.6004
3793,a42336,NJ,2,a42598,NJ,14.115
2654,a30622,MD,15,a30451,MD,22.607
1106,a18693,GA,40,a18790,GA,45.353
4597,a46213,NY,14,a40859,NJ,36.6716
4330,a44744,NY,18,a46880,NY,22.6004
4268,a44467,NY,18,a46880,NY,22.6004
5418,a60725,TN,17,a60354,TN,48.4827
2759,a30814,MD,15,a30451,MD,22.607
2130,a24897,IN,4,a24882,IN,49.0342
5746,a63019,TX,11,a66091,TX,49.3194
3323,a41447,NJ,14,a40859,NJ,36.6716
2018,a24506,IN,4,a24882,IN,49.0342
1286,a19375,GA,40,a18790,GA,45.353
204,a11899,CO,30,a12127,CO,2.71135
6042,a66054,TX,11,a66091,TX,49.3194
4596,a46210,NY,14,a40859,NJ,36.6716
3601,a41940,NJ,2,a42598,NJ,14.115
3783,a42269,NJ,67,a41808,NJ,33.1584
2221,a25020,IN,4,a24882,IN,49.0342
5903,a63410,TX,11,a66091,TX,49.3194
305,a12079,CO,30,a12127,CO,2.71135
1572,a21667,IL,16,a22078,IL,11.1211
650,a13125,CT,57,a13101,CT,45.6509
3698,a42110,NJ,14,a40859,NJ,36.6716
1300,a19411,FL,40,a18790,GA,45.353
67,a11690,CO,30,a12127,CO,2.71135
5940,a65093,TX,11,a66091,TX,49.3194
1721,a22080,IL,16,a22078,IL,11.1211
3998,a42615,NJ,2,a42598,NJ,14.115
14,a11635,CO,30,a12127,CO,2.71135
988,a13629,CT,66,a13186,CT,49.2057
1021,a13671,CT,66,a13186,CT,49.2057
2804,a30878,MD,15,a30451,MD,22.607
2402,a29937,MD,15,a30451,MD,22.607
1181,a18843,GA,40,a18790,GA,45.353
2100,a24854,IN,4,a24882,IN,49.0342
4127,a43418,NY,14,a40859,NJ,36.6716
2857,a31143,MD,15,a30451,MD,22.607
5974,a65910,TX,11,a66091,TX,49.3194
5606,a62676,TX,11,a66091,TX,49.3194
4613,a46234,NY,14,a40859,NJ,36.6716
3431,a41662,NJ,2,a42598,NJ,14.115
2352,a29863,MD,15,a30451,MD,22.607
5508,a61412,TN,17,a60354,TN,48.4827
5476,a61113,TN,17,a60354,TN,48.4827
2645,a30608,MD,15,a30451,MD,22.607
3112,a40919,NJ,14,a40859,NJ,36.6716
1100,a18650,GA,40,a18790,GA,45.353
1781,a22217,IL,16,a22078,IL,11.1211
2190,a24979,IN,4,a24882,IN,49.0342
4439,a45036,NY,2,a42598,NJ,14.115
3727,a42159,NJ,14,a40859,NJ,36.6716
1346,a19611,GA,40,a18790,GA,45.353
3101,a40904,NJ,14,a40859,NJ,36.6716
5249,a58047,PA,5,a58089,PA,35.3072
1654,a21929,IL,16,a22078,IL,11.1211
5789,a63077,TX,11,a66091,TX,49.3194
2502,a30256,MD,15,a30451,MD,22.607
5552,a61625,TN,17,a60354,TN,48.4827
1911,a22899,IL,16,a22078,IL,11.1211
1476,a21386,IL,16,a22078,IL,11.1211
3592,a41929,NJ,2,a42598,NJ,14.115
4347,a44836,NY,18,a46880,NY,22.6004
3517,a41840,NJ,67,a41808,NJ,33.1584
5975,a65911,TX,11,a66091,TX,49.3194
3868,a42422,NJ,14,a40859,NJ,36.6716
2240,a25050,IN,4,a24882,IN,49.0342
2131,a24898,IN,4,a24882,IN,49.0342
4715,a46691,NY,18,a46880,NY,22.6004
2661,a30637,MD,15,a30451,MD,22.607
2205,a24995,IN,4,a24882,IN,49.0342
5287,a58104,PA,5,a58089,PA,35.3072
4803,a47091,NY,67,a41808,NJ,33.1584
421,a12417,CO,30,a12127,CO,2.71135
1265,a19297,GA,40,a18790,GA,45.353
800,a13307,CT,58,a13035,CT,27.775
6190,a68071,VA,15,a30451,MD,22.607
3228,a41323,NJ,2,a42598,NJ,14.115
5756,a63033,TX,11,a66091,TX,49.3194
3484,a41797,NJ,67,a41808,NJ,33.1584
1469,a21374,IL,16,a22078,IL,11.1211
65,a11688,CO,30,a12127,CO,2.71135
5816,a63130,TX,11,a66091,TX,49.3194
1880,a22615,IL,16,a22078,IL,11.1211
4468,a45381,NY,18,a46880,NY,22.6004
977,a13606,CT,66,a13186,CT,49.2057
2831,a31037,MD,15,a30451,MD,22.607
5515,a61478,TN,17,a60354,TN,48.4827
2816,a30894,MD,15,a30451,MD,22.607
3266,a41364,NJ,2,a42598,NJ,14.115
2864,a31153,MD,15,a30451,MD,22.607
4629,a46316,NY,14,a40859,NJ,36.6716
2553,a30432,MD,15,a30451,MD,22.607
1552,a21630,IL,16,a22078,IL,11.1211
2306,a25200,IN,4,a24882,IN,49.0342
3499,a41818,NJ,2,a42598,NJ,14.115
2416,a29972,MD,15,a30451,MD,22.607
2219,a25016,IN,4,a24882,IN,49.0342
2855,a31140,MD,15,a30451,MD,22.607
1537,a21598,IL,16,a22078,IL,11.1211
5592,a62530,TX,11,a66091,TX,49.3194
294,a12066,CO,30,a12127,CO,2.71135
1374,a19994,GA,40,a18790,GA,45.353
5198,a57952,PA,5,a58089,PA,35.3072
838,a13377,CT,57,a13101,CT,45.6509
2743,a30792,MD,15,a30451,MD,22.607
478,a12510,CO,30,a12127,CO,2.71135
3832,a42382,NJ,14,a40859,NJ,36.6716
4861,a47166,GM,14,a40859,NJ,36.6716
1605,a21736,IL,16,a22078,IL,11.1211
5637,a62766,TX,11,a66091,TX,49.3194
918,a13501,CT,66,a13186,CT,49.2057
3633,a41988,NJ,2,a42598,NJ,14.115
5120,a57787,PA,5,a58089,PA,35.3072
2858,a31144,MD,15,a30451,MD,22.607
2935,a31688,MA,66,a13186,CT,49.2057
4704,a46661,NY,18,a46880,NY,22.6004
5948,a65106,TX,11,a66091,TX,49.3194
4757,a46893,NY,18,a46880,NY,22.6004
4386,a44944,NY,18,a46880,NY,22.6004
3508,a41828,NJ,67,a41808,NJ,33.1584
3674,a42068,NJ,67,a41808,NJ,33.1584
3684,a42087,NJ,2,a42598,NJ,14.115
5875,a63286,TX,11,a66091,TX,49.3194
1426,a21295,IL,16,a22078,IL,11.1211
5112,a57664,PA,7,a57195,PA,29.2139
3791,a42307,NJ,5,a58089,PA,35.3072
4201,a43594,NY,18,a46880,NY,22.6004
5745,a63018,TX,11,a66091,TX,49.3194
5150,a57852,PA,5,a58089,PA,35.3072
1247,a19134,GA,40,a18790,GA,45.353
2983,a32681,MA,66,a13186,CT,49.2057
3522,a41845,NJ,2,a42598,NJ,14.115
4612,a46233,NY,14,a40859,NJ,36.6716
1394,a21151,IL,16,a22078,IL,11.1211
2243,a25057,IN,4,a24882,IN,49.0342
4365,a44901,NY,18,a46880,NY,22.6004
655,a13132,CT,57,a13101,CT,45.6509
5088,a57420,PA,7,a57195,PA,29.2139
932,a13528,CT,57,a13101,CT,45.6509
2490,a30208,MD,15,a30451,MD,22.607
3234,a41330,NJ,2,a42598,NJ,14.115
1999,a24475,IN,4,a24882,IN,49.0342
495,a12810,CO,30,a12127,CO,2.71135
4000,a42617,NJ,2,a42598,NJ,14.115
4320,a44717,NY,18,a46880,NY,22.6004
4337,a44787,NY,18,a46880,NY,22.6004
3197,a41290,NJ,2,a42598,NJ,14.115
507,a12841,CO,30,a12127,CO,2.71135
561,a12989,CT,58,a13035,CT,27.775
221,a11927,CO,30,a12127,CO,2.71135
1317,a19455,GA,40,a18790,GA,45.353
1545,a21618,IL,16,a22078,IL,11.1211
4039,a42665,NJ,67,a41808,NJ,33.1584
3048,a40842,NJ,14,a40859,NJ,36.6716
2347,a29852,MD,15,a30451,MD,22.607
4122,a43409,NY,18,a46880,NY,22.6004
529,a12897,CT,58,a13035,CT,27.775
4426,a45010,NY,18,a46880,NY,22.6004
3409,a41625,NJ,2,a42598,NJ,14.115
5197,a57949,PA,5,a58089,PA,35.3072
2673,a30688,MD,15,a30451,MD,22.607
4253,a44367,NY,2,a42598,NJ,14.115
3132,a40968,NJ,5,a58089,PA,35.3072
2408,a29954,MD,15,a30451,MD,22.607
688,a13169,CT,66,a13186,CT,49.2057
5835,a63193,TX,11,a66091,TX,49.3194
1320,a19527,GA,40,a18790,GA,45.353
909,a13489,CT,57,a13101,CT,45.6509
5700,a62928,TX,11,a66091,TX,49.3194
1710,a22064,IL,16,a22078,IL,11.1211
5827,a63161,TX,11,a66091,TX,49.3194
2621,a30573,MD,15,a30451,MD,22.607
6192,a68097,VA,15,a30451,MD,22.607
1078,a14071,DC,15,a30451,MD,22.607
4293,a44584,NY,18,a46880,NY,22.6004
5019,a55370,PA,15,a30451,MD,22.607
6049,a66062,TX,11,a66091,TX,49.3194
4938,a47815,NY,14,a40859,NJ,36.6716
3328,a41453,NJ,2,a42598,NJ,14.115
317,a12098,CO,30,a12127,CO,2.71135
2191,a24980,IN,4,a24882,IN,49.0342
4283,a44538,NY,18,a46880,NY,22.6004
1276,a19342,GA,40,a18790,GA,45.353
1588,a21687,IL,16,a22078,IL,11.1211
1063,a14026,DC,15,a30451,MD,22.607
844,a13385,CT,57,a13101,CT,45.6509
2686,a30703,MD,15,a30451,MD,22.607
958,a13570,CT,57,a13101,CT,45.6509
2474,a30144,MD,15,a30451,MD,22.607
4040,a42666,NJ,67,a41808,NJ,33.1584
731,a13221,CT,66,a13186,CT,49.2057
5675,a62856,TX,11,a66091,TX,49.3194
3371,a41569,NJ,2,a42598,NJ,14.115
2463,a30096,MD,15,a30451,MD,22.607
482,a12577,CO,30,a12127,CO,2.71135
2452,a30068,MD,15,a30451,MD,22.607
1916,a22964,IL,16,a22078,IL,11.1211
83,a11709,CO,30,a12127,CO,2.71135
5654,a62826,TX,11,a66091,TX,49.3194
4972,a47940,NY,18,a46880,NY,22.6004
2059,a24564,IN,4,a24882,IN,49.0342
4764,a46909,NY,18,a46880,NY,22.6004
1310,a19428,GA,40,a18790,GA,45.353
1452,a21335,IL,16,a22078,IL,11.1211
2740,a30788,MD,15,a30451,MD,22.607
3643,a42002,NJ,67,a41808,NJ,33.1584
2501,a30254,MD,15,a30451,MD,22.607
41,a11664,CO,30,a12127,CO,2.71135
3113,a40920,NJ,14,a40859,NJ,36.6716
5344,a60362,TN,17,a60354,TN,48.4827
3333,a41488,NJ,5,a58089,PA,35.3072
3807,a42352,NJ,14,a40859,NJ,36.6716
5720,a62978,TX,11,a66091,TX,49.3194
1755,a22140,IL,16,a22078,IL,11.1211
3229,a41324,NJ,2,a42598,NJ,14.115
1943,a23232,IL,16,a22078,IL,11.1211
1361,a19716,GA,40,a18790,GA,45.353
4148,a43472,NY,14,a40859,NJ,36.6716
5117,a57703,PA,7,a57195,PA,29.2139
3928,a42530,NJ,14,a40859,NJ,36.6716
913,a13495,CT,66,a13186,CT,49.2057
153,a11819,CO,30,a12127,CO,2.71135
2616,a30563,MD,15,a30451,MD,22.607
6118,a66159,TX,11,a66091,TX,49.3194
4958,a47905,NY,18,a46880,NY,22.6004
1177,a18838,GA,40,a18790,GA,45.353
4113,a43388,NY,18,a46880,NY,22.6004
5383,a60433,TN,17,a60354,TN,48.4827
3596,a41933,NJ,67,a41808,NJ,33.1584
3741,a42182,NJ,2,a42598,NJ,14.115
1292,a19401,GA,40,a18790,GA,45.353
1716,a22073,IL,16,a22078,IL,11.1211
108,a11757,CO,30,a12127,CO,2.71135
3308,a41422,NJ,2,a42598,NJ,14.115
2585,a30478,MD,15,a30451,MD,22.607
1718,a22077,IL,16,a22078,IL,11.1211
3895,a42484,NJ,2,a42598,NJ,14.115
4509,a45565,NY,18,a46880,NY,22.6004
720,a13204,CT,57,a13101,CT,45.6509
1271,a19331,GA,40,a18790,GA,45.353
5611,a62696,TX,11,a66091,TX,49.3194
5497,a61145,TN,17,a60354,TN,48.4827
3133,a40971,NJ,5,a58089,PA,35.3072
3249,a41346,NJ,2,a42598,NJ,14.115
5378,a60425,TN,17,a60354,TN,48.4827
2947,a31709,MA,66,a13186,CT,49.2057
3058,a40854,NJ,2,a42598,NJ,14.115
5743,a63015,TX,11,a66091,TX,49.3194
2534,a30371,MD,15,a30451,MD,22.607
3849,a42400,NJ,14,a40859,NJ,36.6716
4578,a46182,NY,14,a40859,NJ,36.6716
3561,a41889,NJ,2,a42598,NJ,14.115
448,a12454,CO,30,a12127,CO,2.71135
5102,a57558,PA,5,a58089,PA,35.3072
2604,a30518,MD,15,a30451,MD,22.607
500,a12831,CO,30,a12127,CO,2.71135
1656,a21933,IL,16,a22078,IL,11.1211
1740,a22102,IL,16,a22078,IL,11.1211
3232,a41328,NJ,2,a42598,NJ,14.115
1819,a22303,IL,16,a22078,IL,11.1211
3949,a42565,NJ,14,a40859,NJ,36.6716
1173,a18829,GA,40,a18790,GA,45.353
5493,a61141,TN,17,a60354,TN,48.4827
3359,a41555,NJ,2,a42598,NJ,14.115
5369,a60403,TN,17,a60354,TN,48.4827
601,a13063,CT,58,a13035,CT,27.775
4555,a45825,NY,18,a46880,NY,22.6004
753,a13249,CT,66,a13186,CT,49.2057
4576,a46180,NY,14,a40859,NJ,36.6716
4391,a44952,NY,67,a41808,NJ,33.1584
4359,a44885,NY,18,a46880,NY,22.6004
4053,a42683,NJ,2,a42598,NJ,14.115
2838,a31058,MD,15,a30451,MD,22.607
5324,a60334,TN,17,a60354,TN,48.4827
2478,a30162,MD,15,a30451,MD,22.607
4144,a43466,NY,18,a46880,NY,22.6004
4021,a42639,NJ,67,a41808,NJ,33.1584
137,a11799,CO,30,a12127,CO,2.71135
2500,a30251,MD,15,a30451,MD,22.607
2808,a30882,MD,15,a30451,MD,22.607
4786,a47055,NY,2,a42598,NJ,14.115
4174,a43541,NY,18,a46880,NY,22.6004
1739,a22100,IL,16,a22078,IL,11.1211
708,a13189,CT,66,a13186,CT,49.2057
3220,a41315,NJ,2,a42598,NJ,14.115
2519,a30311,MD,15,a30451,MD,22.607
3768,a42236,NJ,2,a42598,NJ,14.115
5737,a63005,TX,11,a66091,TX,49.3194
2689,a30706,MD,15,a30451,MD,22.607
2547,a30421,MD,15,a30451,MD,22.607
5492,a61140,TN,17,a60354,TN,48.4827
3687,a42092,NJ,67,a41808,NJ,33.1584
2897,a31632,MA,66,a13186,CT,49.2057
1529,a21560,IL,16,a22078,IL,11.1211
1378,a20102,GA,40,a18790,GA,45.353
54,a11677,CO,30,a12127,CO,2.71135
4814,a47105,NY,2,a42598,NJ,14.115
419,a12415,CO,30,a12127,CO,2.71135
3766,a42231,NJ,67,a41808,NJ,33.1584
2467,a30110,MD,15,a30451,MD,22.607
4067,a43293,NY,18,a46880,NY,22.6004
5193,a57945,PA,5,a58089,PA,35.3072
3010,a40789,NJ,14,a40859,NJ,36.6716
5792,a63081,TX,11,a66091,TX,49.3194
6104,a66139,TX,11,a66091,TX,49.3194
3080,a40880,NJ,18,a46880,NY,22.6004
1338,a19592,GA,40,a18790,GA,45.353
3121,a40931,NJ,14,a40859,NJ,36.6716
4709,a46682,NY,18,a46880,NY,22.6004
2182,a24969,IN,4,a24882,IN,49.0342
5281,a58090,PA,5,a58089,PA,35.3072
1125,a18731,GA,40,a18790,GA,45.353
3767,a42233,NJ,2,a42598,NJ,14.115
145,a11808,CO,30,a12127,CO,2.71135
658,a13136,CT,57,a13101,CT,45.6509
4778,a46996,NY,18,a46880,NY,22.6004
4885,a47197,NJ,14,a40859,NJ,36.6716
1356,a19704,GA,40,a18790,GA,45.353
4245,a44342,NY,2,a42598,NJ,14.115
2722,a30758,MD,15,a30451,MD,22.607
5248,a58046,PA,5,a58089,PA,35.3072
1530,a21561,IL,16,a22078,IL,11.1211
5625,a62734,TX,11,a66091,TX,49.3194
6156,a66230,TX,11,a66091,TX,49.3194
5101,a57536,PA,5,a58089,PA,35.3072
4168,a43533,NY,18,a46880,NY,22.6004
4767,a46932,NY,18,a46880,NY,22.6004
292,a12063,CO,30,a12127,CO,2.71135
358,a12150,CO,30,a12127,CO,2.71135
1468,a21373,IL,16,a22078,IL,11.1211
5332,a60344,TN,17,a60354,TN,48.4827
4065,a43291,NY,2,a42598,NJ,14.115
425,a12421,CO,30,a12127,CO,2.71135
4588,a46196,NY,14,a40859,NJ,36.6716
4140,a43460,NY,18,a46880,NY,22.6004
5144,a57836,PA,5,a58089,PA,35.3072
80,a11706,CO,30,a12127,CO,2.71135
888,a13457,CT,58,a13035,CT,27.775
4790,a47062,NY,2,a42598,NJ,14.115
1967,a23939,IL,16,a22078,IL,11.1211
3900,a42489,NJ,2,a42598,NJ,14.115
1280,a19353,GA,40,a18790,GA,45.353
5928,a65064,TX,11,a66091,TX,49.3194
4871,a47177,NY,14,a40859,NJ,36.6716
876,a13440,CT,58,a13035,CT,27.775
3263,a41361,NJ,14,a40859,NJ,36.6716
5765,a63045,TX,11,a66091,TX,49.3194
1268,a19324,GA,40,a18790,GA,45.353
3336,a41519,NJ,5,a58089,PA,35.3072
2491,a30209,MD,15,a30451,MD,22.607
1691,a22037,IL,16,a22078,IL,11.1211
3455,a41720,NJ,5,a58089,PA,35.3072
2457,a30077,MD,15,a30451,MD,22.607
1015,a13665,CT,66,a13186,CT,49.2057
956,a13568,CT,57,a13101,CT,45.6509
1010,a13659,CT,66,a13186,CT,49.2057
5612,a62697,TX,11,a66091,TX,49.3194
5987,a65951,TX,11,a66091,TX,49.3194
4087,a43344,NY,18,a46880,NY,22.6004
4765,a46928,NY,18,a46880,NY,22.6004
100,a11740,CO,30,a12127,CO,2.71135
2410,a29959,MD,15,a30451,MD,22.607
149,a11815,CO,30,a12127,CO,2.71135
2829,a31027,MD,15,a30451,MD,22.607
3429,a41659,NJ,2,a42598,NJ,14.115
2239,a25049,IN,4,a24882,IN,49.0342
4647,a46378,NY,18,a46880,NY,22.6004
5264,a58065,PA,5,a58089,PA,35.3072
423,a12419,CO,30,a12127,CO,2.71135
4372,a44911,NY,18,a46880,NY,22.6004
6040,a66052,TX,11,a66091,TX,49.3194
2991,a40766,NJ,14,a40859,NJ,36.6716
4177,a43552,NY,18,a46880,NY,22.6004
287,a12056,CO,30,a12127,CO,2.71135
4732,a46770,NY,18,a46880,NY,22.6004
1046,a13803,DE,5,a58089,PA,35.3072
5320,a60329,TN,17,a60354,TN,48.4827
5245,a58041,PA,5,a58089,PA,35.3072
321,a12102,CO,30,a12127,CO,2.71135
2194,a24984,IN,4,a24882,IN,49.0342
1136,a18752,GA,40,a18790,GA,45.353
3905,a42497,NJ,67,a41808,NJ,33.1584
5143,a57832,PA,5,a58089,PA,35.3072
513,a12852,CO,30,a12127,CO,2.71135
4255,a44383,NY,18,a46880,NY,22.6004
5554,a61629,TN,17,a60354,TN,48.4827
2376,a29901,MD,15,a30451,MD,22.607
3656,a42032,NJ,67,a41808,NJ,33.1584
4232,a43924,NY,14,a40859,NJ,36.6716
769,a13268,CT,57,a13101,CT,45.6509
4080,a43333,NY,18,a46880,NY,22.6004
5641,a62787,TX,11,a66091,TX,49.3194
6087,a66112,TX,11,a66091,TX,49.3194
1646,a21899,IL,16,a22078,IL,11.1211
5246,a58042,PA,5,a58089,PA,35.3072
1790,a22239,IL,16,a22078,IL,11.1211
3173,a41264,NJ,2,a42598,NJ,14.115
5735,a63003,TX,11,a66091,TX,49.3194
2854,a31139,MD,15,a30451,MD,22.607
1989,a24320,IN,4,a24882,IN,49.0342
5734,a63002,TX,11,a66091,TX,49.3194
3326,a41451,NJ,2,a42598,NJ,14.115
5229,a58022,PA,5,a58089,PA,35.3072
1095,a18640,GA,40,a18790,GA,45.353
2350,a29860,MD,15,a30451,MD,22.607
3382,a41590,NJ,2,a42598,NJ,14.115
3856,a42408,NJ,14,a40859,NJ,36.6716
4590,a46199,NY,14,a40859,NJ,36.6716
1263,a19292,GA,40,a18790,GA,45.353
5361,a60393,TN,17,a60354,TN,48.4827
1579,a21675,IL,16,a22078,IL,11.1211
324,a12105,NJ,30,a12127,CO,2.71135
122,a11783,CO,30,a12127,CO,2.71135
4204,a43602,NY,18,a46880,NY,22.6004
4382,a44936,NY,2,a42598,NJ,14.115
1912,a22901,IL,16,a22078,IL,11.1211
64,a11687,CO,30,a12127,CO,2.71135
5337,a60352,TN,17,a60354,TN,48.4827
2624,a30576,MD,15,a30451,MD,22.607
2118,a24883,IN,4,a24882,IN,49.0342
3465,a41741,NJ,67,a41808,NJ,33.1584
5169,a57910,PA,5,a58089,PA,35.3072
6090,a66116,TX,11,a66091,TX,49.3194
3882,a42466,NJ,2,a42598,NJ,14.115
4826,a47122,NY,2,a42598,NJ,14.115
5807,a63109,TX,11,a66091,TX,49.3194
