geoid_hashed,DADI,DACI,DAGI,DAEI,Inquiries,Google,BLS Job Openings,BLS Current Employment,BLS Future Employment,BLS Generalist Jobs,BLS Gen Jobs Opennings,2019 Completion
a11695,7.16,3.47,22.48,44.78,14,30.868,5.8499,59.096,63.111,0.072872,0.073356,0
a11696,7.05,3.5,22.22,44.26,18,26.751,4.9112,50.432,53.048,0.063153,0.063209,0
a11697,7.08,3.49,22.29,44.39,14,32.948,6.2575,64.604,67.617,0.077782,0.07774,0
a11698,6.77,1.88,21.39,42.56,4,27.238,5.072,51.958,54.776,0.064301,0.06371,11184
a11699,6.87,3.52,21.7,43.17,6,33.198,6.8229,69.937,73.688,0.078371,0.07742,0
a11700,6.97,3.5,21.96,43.71,1,20.877,3.8083,39.021,41.128,0.049285,0.048869,0
a11701,7.02,3.52,22.05,43.92,4,18.694,3.4043,34.992,36.774,0.044131,0.043464,0
a11702,7.34,3.48,22.83,45.53,9,20.324,3.8256,38.893,41.292,0.047978,0.048131,0
a11703,7.32,3.47,22.99,45.81,48,23.553,6.1992,62.799,66.893,0.055602,0.055879,0
a11704,7.47,3.49,23.12,46.12,10,17.794,4.456,45.332,48.098,0.042006,0.047393,0
a11705,7.16,3.45,22.48,44.76,12,38.403,6.9819,71.556,75.404,0.09066,0.08988,0
a11706,7.2,3.45,22.68,45.2,35,29.482,5.3196,54.636,57.461,0.069599,0.068848,0
a11707,7.34,3.45,22.92,45.66,12,18.645,3.6293,36.377,39.132,0.044016,0.044863,0
a11708,7.28,3.43,22.78,45.36,8,31.981,5.9355,60.843,64.103,0.075499,0.075507,0
a11709,7.26,3.41,22.81,45.4,8,18.122,3.7204,38.159,40.183,0.042782,0.042256,0
a11710,7.35,3.41,23.04,45.88,8,23.425,4.5041,45.891,48.623,0.0553,0.054559,0
a11711,7.45,3.45,23.21,46.26,6,19.916,4.0752,41.92,44.024,0.047017,0.046266,0
a11712,7.46,3.5,22.96,45.88,14,16.365,3.1557,31.696,34.03,0.038633,0.038049,0
a11713,6.31,3.16,19.87,39.64,9,31.458,7.8076,80.184,84.335,0.074265,0.073069,0
a11714,6.53,3.33,20.6,41.04,10,40.142,7.6885,78.694,83.027,0.094765,0.09394,0
a11715,6.71,3.45,21.15,42.15,11,24.191,5.2687,53.984,56.9,0.057109,0.056756,0
a11716,6.09,3.02,19.18,38.32,3,8.4043,3.3048,33.979,35.7,0.01984,0.019605,0
a11722,7.51,3.06,23.29,46.59,4,12.71,2.3848,24.267,25.742,0.030004,0.030023,0
a11723,7.53,3.23,23.39,46.74,7,15.009,3.6738,37.856,39.692,0.035431,0.038151,0
a11724,7.13,2.89,22.6,45.12,12,20.98,3.8442,39.498,41.525,0.049529,0.049216,0
a11725,7,2.82,22.29,44.52,9,16.194,3.0425,31.382,32.875,0.038231,0.038417,0
a11726,6.88,2.75,21.99,43.9,9,23.376,4.3139,44.692,46.627,0.055185,0.055374,0
a11727,6.77,2.63,21.68,43.36,6,30.303,5.8475,60.738,63.216,0.071537,0.071364,0
a11728,6.9,2.7,22,44.02,1,23.413,4.5066,46.17,48.67,0.055271,0.055254,0
a11729,6.8,2.62,21.73,43.48,2,19.782,3.8116,39.941,41.233,0.046701,0.04636,0
a11730,6.7,2.67,21.51,42.95,3,29.135,5.7851,60.365,62.562,0.068781,0.06842,0
a11731,6.78,2.7,21.74,43.42,3,16.669,3.3149,34.328,35.828,0.03935,0.039368,0
a11732,6.49,2.56,21,41.9,3,18.481,3.5968,37.251,38.875,0.043629,0.043417,0
a11733,6.42,2.5,20.81,41.55,2,14.899,3.6523,37.763,39.471,0.035173,0.035258,0
a11734,6.53,2.55,21.1,42.14,5,22.385,5.1724,53.611,55.908,0.052845,0.052613,0
a11735,6.56,2.54,21.17,42.32,1,13.281,2.6548,27.656,28.707,0.031354,0.031523,0
a11736,6.62,2.55,21.34,42.67,6,18.365,3.8734,39.801,41.841,0.043356,0.043766,0
a11737,6.65,2.55,21.36,42.74,3,24.173,4.4448,46.17,48.051,0.057066,0.056763,0
a11738,6.65,2.55,21.39,42.8,11,27.305,5.2344,54.485,56.597,0.064459,0.064177,0
a11739,6.67,2.54,21.33,42.72,5,35.63,6.9262,71.963,74.879,0.084113,0.083857,0
a11740,6.53,2.46,21.02,42.1,0,13.956,2.6838,27.982,29.022,0.032948,0.032924,0
a11741,6.57,2.49,21.12,42.28,1,33.581,6.5107,67.759,70.396,0.079275,0.079709,0
a11742,6.52,2.48,21.05,42.12,3,19.004,3.713,38.508,40.136,0.044863,0.044857,0
a11743,6.5,2.48,20.99,41.99,1,20.111,4.1633,43.038,44.993,0.047476,0.047654,0
a11744,6.47,2.49,20.94,41.85,3,18.986,3.8134,39.417,41.21,0.04482,0.044726,0
a11745,6.35,2.45,20.63,41.22,6,18.888,3.7502,38.986,40.545,0.04459,0.0443,0
a11746,6.81,2.62,21.69,43.42,4,30.4,5.8896,61.029,63.66,0.071767,0.071513,0
a11747,6.95,2.7,22.09,44.22,3,11.743,2.2281,23.254,24.096,0.027722,0.027775,0
a11748,7.17,2.88,22.63,45.19,4,24.033,4.8966,50.048,52.873,0.056736,0.058071,0
a11749,7.25,2.91,22.82,45.58,1,15.063,2.8591,29.158,30.867,0.03556,0.036596,0
a11750,7.18,2.88,22.67,45.31,8,26.563,5.3238,54.403,57.484,0.062708,0.063875,0
a11751,7.22,2.88,22.73,45.43,2,19.977,4.3887,45.577,47.444,0.04716,0.047134,0
a11752,7.06,2.83,22.42,44.8,11,18.335,3.319,33.804,35.828,0.043284,0.043823,0
a11753,7.1,2.83,22.49,44.95,5,17.599,4.0113,40.977,43.311,0.041547,0.042336,0
a11754,6.96,2.79,22.25,44.45,25,19.539,4.0881,41.909,44.152,0.046127,0.046846,0
a11755,6.99,2.77,22.23,44.44,3,16.432,3.0653,32.209,33.167,0.038791,0.039361,0
a11756,6.91,2.75,22.07,44.1,13,20.737,3.6788,37.658,39.727,0.048955,0.048689,0
a11757,6.74,2.43,21.65,43.25,4,13.354,2.6955,27.237,29.081,0.031526,0.031804,1620
a11758,6.72,2.66,21.64,43.24,15,20.676,4.1108,42.444,44.421,0.048811,0.048696,0
a11759,6.83,2.7,21.88,43.73,12,38.421,7.5084,77.238,81.113,0.090703,0.090181,0
a11760,6.67,2.6,21.46,42.88,5,20.348,4.056,41.978,43.837,0.048036,0.048138,0
a11761,6.72,2.64,21.57,43.1,5,24.38,4.8637,50.083,52.546,0.057554,0.057932,0
a11762,7.09,2.78,22.35,44.73,1,27.311,5.3163,55.509,57.496,0.064474,0.064375,0
a11763,7.07,2.8,22.42,44.85,9,11.445,2.2567,23.173,24.376,0.027018,0.026945,0
a11764,6.68,2.53,21.3,42.66,2,29.743,5.7944,60.074,62.632,0.070216,0.069814,0
a11765,6.65,2.51,21.16,42.4,3,28.837,5.5416,57.908,59.936,0.068077,0.067651,0
a11766,6.54,2.46,20.96,41.99,2,31.586,6.1245,63.241,66.181,0.074566,0.074758,0
a11767,6.52,2.44,20.82,41.74,4,30.68,6.3401,65.989,68.551,0.072427,0.072365,0
a11768,6.8,2.6,21.6,43.25,3,24.404,4.7173,49.093,51.005,0.057612,0.057601,0
a11769,6.88,2.65,21.81,43.7,0,10.119,1.8532,19.085,20.021,0.023889,0.024058,0
a11770,6.77,2.58,21.51,43.07,0,7.7049,2.1034,21.88,22.741,0.018189,0.018121,0
a11771,6.84,2.63,21.45,43.02,5,34.444,6.5851,68.4,71.19,0.081314,0.081012,0
a11772,6.68,2.53,21.13,42.36,3,26.204,5.2349,54.124,56.573,0.061861,0.061885,0
a11773,6.96,2.7,21.76,43.62,2,15.55,3.2655,33.92,35.303,0.036709,0.03676,0
a11774,6.69,2.55,20.98,42.1,5,33.082,6.2598,64.604,67.641,0.078098,0.078291,0
a11775,6.42,2.42,20.36,40.87,28,48.978,11.1,115.92,120.05,0.11562,0.11529,0
a11776,6.85,2.63,21.61,43.33,1,13.725,2.648,27.33,28.614,0.032402,0.032423,0
a11777,6.83,2.63,21.61,43.32,16,28.813,5.9698,60.33,64.407,0.06802,0.067691,0
a11778,1.29,0.4,3.6,7.45,16,34.396,6.7298,67.655,72.579,0.081199,0.081075,0
a11779,4.72,1.91,14.06,28.42,0,10.156,1.9326,20.122,20.897,0.023975,0.02383,0
a11780,6.38,2.16,19.24,38.77,18,31.866,6.0402,62.974,65.317,0.075227,0.074519,3216
a11781,5.88,2.42,17.64,35.56,9,27.019,7.3927,76.365,79.887,0.063785,0.063573,0
a11782,4.89,1.9,14.89,30.08,6,30.303,6.7784,70.554,73.291,0.071537,0.071394,0
a11783,5.62,2.16,17.45,35.09,24,36.287,14.127,146,152.66,0.085664,0.086109,0
a11784,7.51,3.25,22.88,45.85,12,24.045,4.4836,45.239,48.366,0.056764,0.057714,0
a11785,7.54,3.3,22.95,45.96,9,26.502,5.0124,50.328,54.052,0.062564,0.06382,0
a11786,7.39,3.25,22.27,44.66,8,17.514,3.2086,32.686,34.638,0.041346,0.041522,0
a11787,7.46,3.31,22.78,45.61,38,33.994,6.7058,68.039,72.369,0.080251,0.08105,0
a11788,7.48,3.27,22.64,45.38,9,32.936,6.1749,62.321,66.613,0.077753,0.079632,0
a11789,7.41,3.24,22.37,44.84,4,15.647,2.9187,29.903,31.52,0.036939,0.037876,0
a11790,7.37,3.21,22.25,44.63,9,21.23,3.9596,39.976,42.716,0.050118,0.051291,0
a11791,7.37,3.18,22.31,44.77,9,27.177,4.9883,51.911,53.935,0.064158,0.064008,0
a11792,7.46,3.22,22.71,45.53,17,26.478,4.9392,50.584,53.34,0.062507,0.063521,0
a11793,7.43,3.19,22.57,45.24,7,31.136,5.6911,59.387,61.547,0.073504,0.072816,0
a11794,7.32,2.92,22.8,45.64,3,15.975,3.0041,31.522,32.501,0.037714,0.037513,0
a11795,7.41,3.17,22.59,45.29,10,22.713,4.1973,43.026,45.331,0.05362,0.053677,0
a11796,7.38,3.14,22.56,45.21,16,28.156,5.2036,53.343,56.2,0.066469,0.066375,0
a11797,7.31,2.95,22.39,44.86,13,32.754,6.9098,71.975,74.715,0.077323,0.077149,0
a11798,7.22,2.89,22.2,44.51,18,36.603,6.7226,69.774,72.672,0.08641,0.086119,0
a11799,7.13,2.83,21.99,44.1,18,29.482,5.3576,55.311,57.893,0.069599,0.070107,0
a11800,7.15,2.85,21.89,43.91,3,21.935,3.9652,40.604,42.821,0.051783,0.051807,0
a11801,7.19,2.88,21.97,44.08,9,24.185,4.3747,45.879,47.327,0.057095,0.056559,0
a11802,7.23,2.92,22.04,44.22,12,37.01,6.7492,69.506,72.917,0.087372,0.086787,0
a11803,7.23,3.1,22.22,44.56,49,18.645,3.7817,39.289,40.883,0.044016,0.044141,0
a11804,7.33,3.13,22.26,44.65,10,25.48,4.6521,48.767,50.328,0.060153,0.060609,0
a11805,7.26,3.13,21.92,44,11,36.627,6.7301,69.122,72.696,0.086468,0.086617,0
a11806,7.22,3.08,21.88,43.91,14,36.238,6.6765,68.656,72.124,0.085549,0.085558,0
a11807,7.17,2.9,21.82,43.8,12,29.33,5.4226,55.509,58.558,0.06924,0.069747,0
a11808,7.13,2.88,21.66,43.48,8,20.257,3.7358,38.439,40.358,0.047821,0.048324,0
a11809,7.07,2.83,21.58,43.31,13,27.031,5.5286,57.035,59.737,0.063813,0.064874,0
a11810,7.05,2.79,21.62,43.39,4,19.807,3.7492,37.169,40.393,0.046758,0.048254,0
a11811,6.95,2.75,21.3,42.75,5,31.513,5.8411,60.074,63.099,0.074394,0.075029,0
a11812,6.67,2.58,20.69,41.57,2,17.49,3.346,34.829,36.179,0.041288,0.041147,0
a11813,7.29,3.19,21.88,43.91,5,35.983,6.6183,68.33,71.516,0.084946,0.084867,0
a11814,7.16,3.14,21.51,43.2,19,41.827,7.745,79.381,83.646,0.098742,0.098726,0
a11815,7.16,3.06,21.57,43.32,9,24.757,4.5598,47.137,49.277,0.058444,0.058703,264
a11816,7.09,3.04,21.43,43.04,16,43.384,7.9951,82.792,86.413,0.10242,0.10253,0
a11817,7.04,2.99,21.35,42.88,15,36.348,6.7055,69.133,72.45,0.085807,0.08641,0
a11818,7.02,2.82,21.33,42.85,7,23.577,4.3073,44.936,46.58,0.055659,0.055993,0
a11819,6.95,2.79,21.16,42.51,10,27.42,5.0194,52.272,54.274,0.064732,0.064673,0
a11820,6.88,2.73,21,42.19,3,14.625,2.6872,27.993,29.057,0.034527,0.034481,0
a11821,6.92,3,20.99,42.19,40,33.258,6.6438,68.202,71.762,0.078514,0.078488,0
a11822,6.95,2.96,21.04,42.28,10,22.324,4.1149,42.665,44.479,0.052702,0.052711,0
a11823,6.88,2.79,20.84,41.9,16,32.76,5.9719,62.007,64.559,0.077337,0.077546,0
a11824,6.78,2.76,20.47,41.18,7,29.458,5.4616,55.894,58.978,0.069542,0.070238,0
a11825,6.48,2.62,19.61,39.47,2,20.536,4.3923,45.856,47.503,0.048481,0.048884,0
a11826,6.7,2.72,20.31,40.85,14,43.019,8.3778,87.008,90.569,0.10156,0.10235,0
a11827,6.35,2.53,19.38,39.01,14,55.066,10.341,107.84,111.83,0.13,0.1295,0
a11828,6.72,2.7,20.66,41.53,41,28.284,5.1782,54.054,56.001,0.066771,0.067189,0
a11829,6.64,2.66,20.22,40.67,16,42.757,7.8697,81.803,85.082,0.10094,0.1009,0
a11830,6.83,2.75,20.76,41.72,16,36.269,6.6824,68.342,72.159,0.08562,0.086085,0
a11831,6.95,2.72,21.52,43.17,7,23.674,4.3178,45.088,46.697,0.055889,0.055559,0
a11832,6.73,2.59,20.96,42.09,7,28.375,5.2623,54.357,56.865,0.066986,0.06708,0
a11833,6.88,2.7,21.2,42.56,3,18.523,3.355,34.421,36.237,0.043729,0.043939,0
a11834,6.92,2.71,21.36,42.88,7,18.596,3.4185,35.26,36.937,0.043901,0.043775,0
a11835,6.78,2.66,20.83,41.85,5,14.729,2.7034,28.168,29.232,0.034771,0.035073,0
a11836,6.71,2.65,20.55,41.3,8,28.862,5.2489,54.718,56.76,0.068135,0.068149,0
a11837,6.66,2.61,20.43,41.08,3,23.097,4.267,43.818,46.09,0.054525,0.054983,0
a11838,6.61,2.62,20.19,40.61,3,22.166,4.0436,42.072,43.72,0.052328,0.052476,0
a11839,6.53,2.58,20,40.23,3,20.105,3.6744,38.369,39.739,0.047462,0.047779,0
a11840,6.78,2.69,20.73,41.66,6,17.769,3.3043,33.746,35.677,0.041949,0.04229,0
a11841,6.73,2.63,20.82,41.84,16,33.118,6.1214,63.637,66.181,0.078184,0.077817,0
a11842,6.81,2.68,20.98,42.14,16,29.622,5.414,56.604,58.558,0.069929,0.070256,0
a11843,6.48,2.53,20,40.23,8,21.88,4.0984,42.537,44.304,0.051654,0.051765,0
a11844,6.61,2.54,20.58,41.36,4,19.588,3.7776,39.067,40.825,0.046241,0.046429,0
a11845,6.51,2.48,20.37,40.92,5,11.402,2.2202,22.916,23.991,0.026918,0.027053,0
a11846,6.4,2.44,19.86,39.93,0,42.94,8.1483,84.399,88.071,0.10137,0.10149,0
a11847,6.24,2.38,19.33,38.92,1,17.982,3.6531,37.961,39.494,0.042451,0.042306,0
a11848,6.05,2.32,18.74,37.77,4,15.909,3.1055,31.987,33.552,0.037556,0.03766,0
a11849,6.39,2.49,19.87,39.97,27,27.22,5.2692,54.671,56.959,0.064258,0.064116,0
a11850,6.51,2.51,20.18,40.57,4,33.337,6.4403,67.212,69.649,0.078701,0.079136,0
a11851,6.39,2.46,19.78,39.79,3,20.324,3.8655,40.069,41.782,0.047978,0.048023,0
a11852,6.61,2.57,20.4,41.01,7,29.573,5.4976,56.359,59.375,0.069814,0.070842,0
a11853,6.6,2.58,20.31,40.84,4,10.66,2.0051,21.007,21.691,0.025166,0.025768,0
a11854,6.31,2.48,19.38,38.94,7,22.47,8.074,84.353,87.323,0.053046,0.053457,0
a11855,6.13,2.39,18.84,37.95,7,49.301,9.3551,97.302,101.15,0.11639,0.11699,0
a11856,6.16,2.38,19.04,38.35,10,31.422,5.8283,60.959,63.041,0.074179,0.07474,0
a11857,6.29,2.44,19.4,39.05,8,36.84,7.5687,78.938,81.848,0.08697,0.086402,0
a11858,6.35,2.39,19.87,39.94,3,24.361,5.555,57.687,60.052,0.057511,0.057493,0
a11859,6.18,2.33,19.31,38.87,0,12.758,2.5503,26.386,27.563,0.030119,0.030129,0
a11860,6.02,2.28,18.88,38.04,23,30.826,5.6729,58.129,61.266,0.072772,0.072696,0
a11861,5.9,2.22,18.37,37.01,4,27.931,6.5975,68.749,71.341,0.065938,0.066409,0
a11862,5.72,2.17,17.74,35.76,3,25.997,6.8739,71.183,74.295,0.061373,0.061253,0
a11863,7.39,3.01,22.82,45.68,32,40.823,8.1287,84.364,87.872,0.096373,0.096276,0
a11864,7.39,2.97,22.71,45.46,2,17.076,3.8292,39.487,41.374,0.040312,0.045501,0
a11865,7.38,2.98,22.61,45.3,8,29.427,5.3753,56.033,58.126,0.06947,0.069175,0
a11866,7.31,2.93,22.5,45.09,8,16.644,3.0576,31.545,33.038,0.039293,0.039147,0
a11867,7.36,2.95,22.69,45.43,6,26.715,5.2816,54.578,57.075,0.063067,0.06316,0
a11868,7.24,2.91,22.54,45.14,40,46.996,9.0701,94.484,98.075,0.11094,0.11008,0
a11876,4.53,2.21,15.54,30.39,2,31.458,3.7736,40.35,41.398,0.080566,0.081446,0
a11877,4.63,2.27,15.85,31,6,41.815,4.9618,54.161,54.534,0.10709,0.10881,0
a11878,4.55,2.23,15.61,30.52,3,24.72,2.9169,31.62,32.039,0.063309,0.064153,0
a11879,4.42,2.16,15.2,29.7,0,16.225,1.9391,21.093,21.306,0.041552,0.042421,0
a11880,4.46,2.19,15.35,29.99,9,38.415,5.1672,55.609,56.719,0.098383,0.099544,0
a11881,4.58,2.23,15.66,30.61,0,22.403,2.6883,28.569,29.476,0.057376,0.058798,0
a11882,4.74,2.32,16.16,31.63,2,38.312,4.6385,50.48,50.967,0.098118,0.098663,0
a11883,4.81,2.37,16.39,32.08,9,42.575,6.1431,67.22,67.532,0.10904,0.11007,0
a11884,4.66,2.27,15.94,31.14,0,23.267,2.8016,30.163,30.753,0.059587,0.060589,0
a11885,4.8,2.34,16.31,31.89,1,43.779,5.725,63.369,63.001,0.11212,0.10644,0
a11886,4.77,2.32,16.23,31.74,2,37.339,4.4884,49.137,49.344,0.095626,0.095677,0
a11887,5.16,2.54,17.42,34.14,7,15.951,1.9061,20.656,20.936,0.040851,0.041318,0
a11888,4.7,2.29,16.04,31.39,4,26.642,3.1798,34.435,34.923,0.068231,0.068933,0
a11889,4.97,2.44,16.88,33.05,7,26.806,3.1567,34.759,34.722,0.068651,0.069958,0
a11890,5.17,2.54,17.41,34.13,0,18.298,2.1861,23.715,24.013,0.046863,0.047263,0
a11891,5.06,2.48,17.1,33.49,3,20.95,2.4796,26.959,27.243,0.053653,0.054249,0
a11892,5.03,2.44,16.96,33.31,2,27.682,3.2725,35.811,35.975,0.070894,0.072529,0
a11893,5.03,2.47,16.98,33.28,1,41.511,5.1256,55.059,56.253,0.10631,0.10587,0
a11894,5,2.45,16.92,33.14,0,22.099,2.6337,28.124,28.89,0.056597,0.057589,0
a11895,4.88,2.39,16.61,32.47,0,10.667,1.195,13.059,13.135,0.027317,0.02804,0
a11896,4.89,2.39,16.63,32.52,4,28.564,3.9219,42.073,43.037,0.073152,0.074981,0
a11897,4.96,2.43,16.85,32.96,1,14.479,1.7151,18.779,18.855,0.037082,0.037544,0
a11898,4.4,2.16,15.11,29.55,1,36.761,4.4366,48.295,48.749,0.094146,0.094901,0
a11899,4.73,2.33,16.13,31.6,7,23.121,3.3192,35.981,36.457,0.059213,0.060491,0
a11900,5.06,2.5,17.08,33.51,6,14.023,1.8049,19.418,19.811,0.035914,0.035723,0
a11901,4.83,2.38,16.33,32.07,0,32.942,3.9032,42.534,42.893,0.084366,0.086066,0
a11902,5,2.47,16.82,33.05,0,11.579,1.3555,14.766,14.895,0.029653,0.029914,0
